
index,time,bid,bidvol,ask,askvol
40,2014-11-05 10:11:00,33.94,3462.00,33.95,1200.00
41,2014-11-05 10:12:00,33.91,3673.00,33.92,1578.00
42,2014-11-05 10:13:00,33.96,2200.00,33.97,3177.00
43,2014-11-05 10:14:00,33.94,2757.00,33.95,3400.00
44,2014-11-05 10:15:00,33.92,100.00,33.93,6914.00
45,2014-11-05 10:16:00,33.93,400.00,33.94,5000.00
46,2014-11-05 10:17:00,33.93,2800.00,33.94,3400.00
47,2014-11-05 10:18:00,33.95,4195.00,33.96,1000.00
48,2014-11-05 10:19:00,33.95,4498.00,33.96,401.00
49,2014-11-05 10:20:00,33.95,3300.00,33.96,4600.00
50,2014-11-05 10:21:00,33.94,29361.00,33.95,6570.00
51,2014-11-05 10:22:00,33.91,2100.00,33.92,7866.00
52,2014-11-05 10:23:00,33.94,500.00,33.95,7743.00
53,2014-11-05 10:24:00,33.92,4000.00,33.93,3844.00
54,2014-11-05 10:25:00,33.94,1300.00,33.95,5233.00
55,2014-11-05 10:26:00,33.93,4400.00,33.94,4436.00
56,2014-11-05 10:27:00,33.90,3100.00,33.91,3790.00
57,2014-11-05 10:28:00,33.92,4502.00,33.93,1895.00
58,2014-11-05 10:29:00,33.88,4648.00,33.89,3582.00
59,2014-11-05 10:30:00,33.92,2800.00,33.93,5094.00
60,2014-11-05 10:31:00,33.88,1681.00,33.89,5205.00
61,2014-11-05 10:32:00,33.87,9846.00,33.88,887.00
62,2014-11-05 10:33:00,33.89,4956.00,33.90,2400.00
63,2014-11-05 10:34:00,33.86,3100.00,33.87,2440.00
64,2014-11-05 10:35:00,33.83,5128.00,33.84,1700.00
65,2014-11-05 10:36:00,33.75,7485.00,33.76,3950.00
66,2014-11-05 10:37:00,33.78,5086.00,33.80,5478.00
67,2014-11-05 10:38:00,33.82,3553.00,33.83,1278.00
68,2014-11-05 10:39:00,33.82,4900.00,33.83,1278.00
69,2014-11-05 10:40:00,33.83,3800.00,33.84,1145.00
70,2014-11-05 10:41:00,33.86,4600.00,33.87,2914.00
71,2014-11-05 10:42:00,33.82,5929.00,33.83,1100.00
72,2014-11-05 10:43:00,33.83,6090.00,33.84,7606.00
73,2014-11-05 10:44:00,33.83,2556.00,33.84,7350.00
74,2014-11-05 10:45:00,33.81,4673.00,33.82,1600.00
75,2014-11-05 10:46:00,33.81,4896.00,33.82,1500.00
76,2014-11-05 10:47:00,33.81,2800.00,33.82,3710.00
77,2014-11-05 10:48:00,33.77,4897.00,33.78,4400.00
78,2014-11-05 10:49:00,33.74,2806.00,33.75,3631.00
79,2014-11-05 10:50:00,33.77,4558.00,33.78,3554.00
80,2014-11-05 10:51:00,33.74,5506.00,33.75,339.00
81,2014-11-05 10:52:00,33.75,5942.00,33.76,3980.00
82,2014-11-05 10:53:00,33.72,2800.00,33.73,5301.00
83,2014-11-05 10:54:00,33.74,500.00,33.75,4110.00
84,2014-11-05 10:55:00,33.72,5654.00,33.73,4900.00
85,2014-11-05 10:56:00,33.74,5799.00,33.75,4200.00
86,2014-11-05 10:57:00,33.78,9605.00,33.79,2787.00
87,2014-11-05 10:58:00,33.78,4701.00,33.79,4819.00
88,2014-11-05 10:59:00,33.79,2800.00,33.80,3000.00
89,2014-11-05 11:00:00,33.77,2267.00,33.78,7100.00
90,2014-11-05 11:01:00,33.77,4378.00,33.78,3093.00
91,2014-11-05 11:02:00,33.82,2801.00,33.83,5550.00
92,2014-11-05 11:03:00,33.88,3500.00,33.89,3839.00
93,2014-11-05 11:04:00,33.86,1121.00,33.87,6942.00
94,2014-11-05 11:05:00,33.84,2453.00,33.85,3001.00
95,2014-11-05 11:06:00,33.85,6500.00,33.86,2821.00
96,2014-11-05 11:07:00,33.85,3300.00,33.86,3420.00
97,2014-11-05 11:08:00,33.89,1400.00,33.90,3060.00
98,2014-11-05 11:09:00,33.84,2599.00,33.85,2500.00
99,2014-11-05 11:10:00,33.84,5233.00,33.85,4500.00
100,2014-11-05 11:11:00,33.85,4230.00,33.87,6315.00
101,2014-11-05 11:12:00,33.84,4900.00,33.85,3400.00
102,2014-11-05 11:13:00,33.87,2000.00,33.88,4860.00
103,2014-11-05 11:14:00,33.87,6100.00,33.88,2269.00
104,2014-11-05 11:15:00,33.90,3300.00,33.91,4200.00
105,2014-11-05 11:16:00,33.91,4100.00,33.92,913.00
106,2014-11-05 11:17:00,33.93,5719.00,33.94,8762.00
107,2014-11-05 11:18:00,33.93,7819.00,33.94,5480.00
108,2014-11-05 11:19:00,33.92,2701.00,33.93,6516.00
109,2014-11-05 11:20:00,33.91,8449.00,33.92,3979.00
110,2014-11-05 11:21:00,33.92,9000.00,33.93,2980.00
111,2014-11-05 11:22:00,33.92,6561.00,33.93,6100.00
112,2014-11-05 11:23:00,33.92,7468.00,33.93,1500.00
113,2014-11-05 11:24:00,33.90,5500.00,33.91,1601.00
114,2014-11-05 11:25:00,33.90,5346.00,33.91,4100.00
115,2014-11-05 11:26:00,33.88,6505.00,33.89,2910.00
116,2014-11-05 11:27:00,33.91,4353.00,33.92,4247.00
117,2014-11-05 11:28:00,33.90,4500.00,33.91,3660.00
118,2014-11-05 11:29:00,33.90,8358.00,33.91,1201.00
119,2014-11-05 11:30:00,33.91,2900.00,33.92,5114.00
120,2014-11-05 11:31:00,33.90,3100.00,33.91,6490.00
121,2014-11-05 11:32:00,33.90,3679.00,33.91,3564.00
122,2014-11-05 11:33:00,33.89,4618.00,33.90,2700.00
123,2014-11-05 11:34:00,33.90,6343.00,33.91,3200.00
124,2014-11-05 11:35:00,33.90,4557.00,33.91,7415.00
125,2014-11-05 11:36:00,33.89,2743.00,33.90,11005.00
126,2014-11-05 11:37:00,33.87,4702.00,33.88,7381.00
