Date,Open,High,Low,Close,Volume
2021-08-12 08:40:00,145.85,145.86,145.71,145.7101,24048
2021-08-12 08:45:00,145.72,145.73,145.6,145.6601,35953
2021-08-12 08:50:00,145.6999,145.7,145.55,145.58,20538
2021-08-12 08:55:00,145.58,145.6,145.57,145.6,14299
2021-08-12 09:00:00,145.61,145.65,145.57,145.63,26554
2021-08-12 09:05:00,145.63,145.69,145.63,145.66,17677
2021-08-12 09:10:00,145.65,145.71,145.62,145.635,25157
2021-08-12 09:15:00,145.64,145.69,145.6,145.67,9883
2021-08-12 09:20:00,145.67,145.78,145.62,145.78,13106
2021-08-12 09:25:00,145.8,146.28,145.57,146.19,166739
2021-08-12 09:30:00,146.2,146.64,145.99,146.408,2753421
2021-08-12 09:35:00,146.39,146.39,145.84,146.245,1342650
2021-08-12 09:40:00,146.23,146.47,146.02,146.435,1167010
2021-08-12 09:45:00,146.44,147,146.27,146.97,1724581
2021-08-12 09:50:00,146.97,147.43,146.94,147.19,2275626
2021-08-12 09:55:00,147.19,147.39,147.01,147.06,1230724
2021-08-12 10:00:00,147.07,147.09,146.58,146.835,1139983
2021-08-12 10:05:00,146.841,146.99,146.7,146.97,890057
2021-08-12 10:10:00,146.96,147.29,146.83,147.2867,1014994
2021-08-12 10:15:00,147.2868,147.45,147.18,147.39,1614845
2021-08-12 10:20:00,147.39,147.5,147.32,147.395,1321682
2021-08-12 10:25:00,147.4,147.57,147.39,147.535,988439
2021-08-12 10:30:00,147.545,147.82,147.48,147.7699,1024514
2021-08-12 10:35:00,147.76,147.87,147.523,147.53,930486
2021-08-12 10:40:00,147.53,147.745,147.52,147.73,620887
2021-08-12 10:45:00,147.7218,147.76,147.55,147.7599,696120
2021-08-12 10:50:00,147.75,148.1,147.74,148.075,1558541
2021-08-12 10:55:00,148.0785,148.25,148.04,148.17,1244424
2021-08-12 11:00:00,148.17,148.29,148.06,148.08,966031
2021-08-12 11:05:00,148.07,148.39,148.07,148.27,891523
2021-08-12 11:10:00,148.28,148.39,148.1399,148.1399,621088
2021-08-12 11:15:00,148.137,148.38,148.13,148.325,671892
2021-08-12 11:20:00,148.325,148.47,148.32,148.37,824053
2021-08-12 11:25:00,148.38,148.49,148.356,148.37,634245
2021-08-12 11:30:00,148.3601,148.53,148.2338,148.35,904953
2021-08-12 11:35:00,148.345,148.41,148.31,148.33,448355
2021-08-12 11:40:00,148.3302,148.4425,148.23,148.23,464254
