Date,MA5,MA10,MA20,MACD,K,D,J,RSI6,RSI12,RSI24,BIAS5,BIAS10,BIAS20,OBV,Signal,Close
06-07,30.062,29.797,28.8845,0.196506,0.583366,0.668957,0.840139,0.5,0.666667,0.666667,0.000266,0.009162,0.041043,902995954.0,1.0,30.07
06-08,30.134,29.962,29.069,0.224079,0.665269,0.667728,0.672644,0.5,0.666667,0.666667,0.024756,0.030639,0.0623,944560754.0,1.0,30.88
06-09,30.264,30.116,29.256,0.23746,0.692807,0.676088,0.642648,0.666667,0.666667,0.666667,0.022337,0.027361,0.057561,978402883.0,1.0,30.94
06-12,30.668,30.307,29.441,0.255964,0.706552,0.686242,0.645623,0.833333,0.666667,0.666667,0.018977,0.031115,0.061445,1015842954.0,1.0,31.25
06-13,31.166,30.614,29.6745,0.348418,0.794335,0.722273,0.57815,0.666667,0.666667,0.666667,0.048899,0.067812,0.101619,1068108610.0,-1.0,32.69
06-14,31.56,30.811,29.878,0.359839,0.75707,0.733872,0.687477,0.666667,0.583333,0.625,0.015209,0.039888,0.072361,1024819236.0,-1.0,32.04
06-15,31.748,30.941,30.055,0.340144,0.697292,0.721679,0.770452,0.5,0.5,0.583333,0.002268,0.028409,0.058726,977701746.0,-1.0,31.82
06-16,31.39,30.827,30.104,0.144617,0.292715,0.578691,1.150642,0.5,0.5,0.583333,-0.07136,-0.0544,-0.03169,923088617.0,1.0,29.15
06-19,31.014,30.841,30.169,0.010429,0.054433,0.403938,1.102949,0.333333,0.5,0.583333,-0.053008,-0.047696,-0.026484,954847490.0,-1.0,29.37
06-20,30.286,30.726,30.1975,-0.11083,-0.122373,0.228501,0.930249,0.333333,0.583333,0.583333,-0.040811,-0.054547,-0.038,903875574.0,1.0,29.05
06-21,29.872,30.716,30.2565,-0.141805,-0.10477,0.117411,0.561773,0.5,0.583333,0.625,0.003281,-0.024287,-0.009469,951887958.0,1.0,29.97
06-22,29.53,30.639,30.3005,-0.156843,-0.059973,0.058283,0.294795,0.666667,0.666667,0.666667,0.019641,-0.017266,-0.006287,998215592.0,1.0,30.11
06-23,29.758,30.574,30.345,-0.157566,0.008647,0.041738,0.107919,0.833333,0.666667,0.666667,0.017878,-0.009289,-0.001812,1036189319.0,1.0,30.29
06-26,30.11,30.562,30.4345,-0.106386,0.1543,0.079258,-0.070825,0.833333,0.666667,0.666667,0.033876,0.018585,0.022852,1086957608.0,1.0,31.13
06-27,30.558,30.422,30.518,-0.062361,0.309763,0.156093,-0.151246,0.833333,0.583333,0.625,0.023954,0.028532,0.025297,1115857440.0,-1.0,31.29
06-28,30.718,30.295,30.553,-0.067372,0.427103,0.24643,-0.114917,0.666667,0.5,0.583333,0.001693,0.015679,0.007102,1086045493.0,-1.0,30.77
06-29,30.844,30.187,30.564,-0.076171,0.488632,0.327164,0.004227,0.666667,0.583333,0.625,-0.003372,0.018319,0.005758,1062219156.0,1.0,30.74
06-30,30.996,30.377,30.602,-0.065931,0.586939,0.413756,0.067389,0.5,0.583333,0.583333,0.001742,0.022155,0.01464,1082641230.0,-1.0,31.05
07-03,30.926,30.518,30.6795,-0.079004,0.572128,0.466547,0.255383,0.5,0.666667,0.583333,-0.004721,0.008585,0.003276,1048669021.0,0.0,30.78
07-04,30.824,30.691,30.7085,-0.091229,0.540926,0.49134,0.392167,0.5,0.666667,0.583333,-0.001427,0.0029,0.002328,1088205830.0,1.0,30.78
07-05,30.946,30.832,30.774,-0.064564,0.624183,0.535621,0.358496,0.666667,0.75,0.625,0.014024,0.017774,0.019692,1121897041.0,1.0,31.38
07-06,31.26,31.052,30.8455,0.010023,0.724485,0.598576,0.346757,0.666667,0.666667,0.625,0.033589,0.040513,0.047479,1164455602.0,-1.0,32.31
07-07,31.46,31.228,30.901,0.041582,0.709055,0.635402,0.488096,0.5,0.583333,0.583333,0.018754,0.026323,0.037183,1136803005.0,-1.0,32.05
07-10,31.6,31.263,30.9125,0.022124,0.590446,0.620417,0.680358,0.666667,0.583333,0.625,-0.003797,0.006941,0.018358,1112490433.0,1.0,31.48
07-11,31.832,31.328,30.875,0.032048,0.588857,0.609897,0.651977,0.5,0.5,0.583333,0.003393,0.019535,0.034494,1135502212.0,-1.0,31.94
07-12,31.888,31.417,30.856,0.015752,0.523202,0.580998,0.696592,0.333333,0.416667,0.541667,-0.00715,0.007735,0.026057,1110074526.0,-1.0,31.66
07-13,31.666,31.463,30.825,-0.030206,0.375197,0.512398,0.7868,0.333333,0.5,0.541667,-0.014716,-0.008359,0.012165,1084420484.0,1.0,31.2
07-14,31.622,31.541,30.959,-0.027055,0.398059,0.474285,0.626737,0.5,0.583333,0.541667,0.006578,0.009163,0.028134,1105056313.0,1.0,31.83
07-17,31.754,31.677,31.0975,-0.009316,0.474304,0.474291,0.474266,0.5,0.5,0.541667,0.012156,0.014616,0.033524,1137325976.0,-1.0,32.14
07-18,31.67,31.751,31.221,-0.040586,0.361172,0.436585,0.587411,0.333333,0.5,0.541667,-0.004736,-0.007275,0.009577,1107997865.0,-1.0,31.52
07-19,31.604,31.746,31.289,-0.078659,0.247065,0.373412,0.626104,0.5,0.5,0.583333,-0.00867,-0.013104,0.00131,1081679658.0,1.0,31.33
07-20,31.698,31.682,31.367,-0.086977,0.310159,0.352327,0.436665,0.5,0.416667,0.541667,-0.000883,-0.000379,0.00966,1113719617.0,-1.0,31.67
07-21,31.598,31.61,31.419,-0.11702,0.253961,0.319538,0.450693,0.5,0.416667,0.583333,-0.008482,-0.008858,-0.002833,1090581148.0,1.0,31.33
07-24,31.498,31.626,31.4445,-0.120466,0.323727,0.320935,0.31535,0.333333,0.416667,0.541667,0.004508,0.000443,0.006217,1116446679.0,-1.0,31.64
07-25,31.506,31.588,31.458,-0.129594,0.344763,0.328878,0.297106,0.333333,0.416667,0.5,0.001714,-0.000886,0.003242,1100026497.0,-1.0,31.56
07-26,31.338,31.471,31.444,-0.205314,0.051356,0.236371,0.606399,0.333333,0.333333,0.458333,-0.02706,-0.031172,-0.03034,1043360168.0,-1.0,30.49
07-27,31.094,31.396,31.4295,-0.261027,-0.097333,0.125136,0.570074,0.166667,0.333333,0.416667,-0.020711,-0.030131,-0.031165,1011147380.0,-1.0,30.45
07-28,30.9,31.249,31.395,-0.304176,-0.187556,0.020905,0.437827,0.166667,0.333333,0.375,-0.017476,-0.028449,-0.032967,995992484.0,-1.0,30.36
07-31,30.6,31.049,31.363,-0.345418,-0.260534,-0.072908,0.302345,0.166667,0.333333,0.416667,-0.015033,-0.029276,-0.038995,975533398.0,1.0,30.14
08-01,30.318,30.912,31.3315,-0.369488,-0.261327,-0.135714,0.115512,0.166667,0.25,0.416667,-0.005541,-0.024651,-0.03771,999945188.0,-1.0,30.15
08-02,30.236,30.787,31.2665,-0.385628,-0.244731,-0.172053,-0.026697,0.166667,0.25,0.375,-0.005159,-0.022964,-0.037948,976718992.0,-1.0,30.08
08-03,29.962,30.528,31.105,-0.454616,-0.363359,-0.235822,0.019253,0.333333,0.333333,0.416667,-0.029437,-0.047432,-0.065102,933122154.0,1.0,29.08
08-04,29.754,30.327,30.9685,-0.480431,-0.33548,-0.269041,-0.136164,0.5,0.333333,0.416667,-0.014586,-0.033205,-0.053232,964097517.0,1.0,29.32
08-07,29.638,30.119,30.8725,-0.474637,-0.229464,-0.255849,-0.308618,0.5,0.333333,0.375,-0.002632,-0.01856,-0.042514,981703406.0,-1.0,29.56
08-08,29.406,29.862,30.725,-0.497734,-0.295036,-0.268911,-0.216661,0.5,0.333333,0.375,-0.014147,-0.029201,-0.056469,960872431.0,1.0,28.99
08-09,29.258,29.747,30.609,-0.482029,-0.203286,-0.247036,-0.334537,0.666667,0.416667,0.416667,0.002803,-0.013682,-0.041458,989139894.0,1.0,29.34
08-10,29.364,29.663,30.5295,-0.443928,-0.041881,-0.178651,-0.452191,0.833333,0.5,0.458333,0.008378,-0.001787,-0.030118,1014200280.0,1.0,29.61
08-11,29.444,29.599,30.424,-0.400756,0.141279,-0.072008,-0.498581,0.666667,0.5,0.416667,0.009374,0.004088,-0.02314,1041593025.0,-1.0,29.72
08-14,29.45,29.544,30.2965,-0.370073,0.234831,0.030272,-0.378847,0.666667,0.583333,0.458333,0.004754,0.001557,-0.02332,1023641573.0,1.0,29.59
08-15,29.588,29.497,30.2045,-0.334818,0.352945,0.13783,-0.292401,0.666667,0.583333,0.458333,0.003109,0.006204,-0.017365,1036068252.0,-1.0,29.68
08-16,29.62,29.439,30.113,-0.314162,0.421777,0.232479,-0.146118,0.5,0.5,0.416667,-0.004051,0.002072,-0.020357,1010649472.0,-1.0,29.5
08-17,29.576,29.47,29.999,-0.299762,0.399899,0.288285,0.065059,0.333333,0.5,0.375,-0.006289,-0.002715,-0.020301,997173494.0,-1.0,29.39
08-18,29.482,29.463,29.895,-0.291902,0.316468,0.29768,0.260103,0.333333,0.583333,0.416667,-0.007869,-0.007229,-0.021576,978808297.0,0.0,29.25
