date,Total Index,Convertible Arbitrage,Dedicated Short Bias,Emerging Markets,Equity Market Neutral,Event Driven,Event Driven Distressed,Event Driven Multi-Strategy,Event Driven Risk Arbitrage,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Managed Futures,Multi-Strategy
1995-12-31,0.0259,0.0092,0.044700000000000004,0.002700000000000001,0.0034000000000000002,0.0171,0.034199999999999994,0.005500000000000001,-0.006299999999999999,0.006,0.0358,0.0162,0.0412,0.003300000000000001
1996-01-31,0.0652,0.0162,0.0017999999999999995,0.0741,0.0165,0.0304,0.036500000000000005,0.030500000000000003,0.0057,0.0098,0.1001,0.015199999999999998,0.0237,-0.0008000000000000004
1996-02-29,-0.0406,0.0071,-0.0611,-0.0104,0.011200000000000002,0.0011000000000000003,-0.0010999999999999994,0.0010000000000000009,0.011,0.005900000000000001,-0.0754,0.0088,-0.049699999999999994,-0.0023999999999999994
1996-03-31,0.0063,0.0107,-0.013,-0.0136,0.0122,0.0079,0.0087,0.0086,0.002,0.0034000000000000002,0.0079,0.0078,-0.0031999999999999997,-0.0046
1996-04-30,0.0265,0.008700000000000001,-0.0711,0.045899999999999996,0.0082,0.021,0.0222,0.0211,0.015300000000000001,0.0088,0.0253,0.036699999999999997,0.0265,0.0125
1996-05-31,0.015100000000000002,0.011700000000000002,-0.004,0.0409,0.007200000000000001,0.012400000000000001,0.0067,0.019200000000000002,0.0067,0.0067,0.015700000000000002,0.0171,-0.0241,0.0155
1996-06-30,0.012499999999999999,0.009600000000000001,0.046,0.0487,-0.0025,0.0051,0.0018000000000000004,0.0099,-0.0021,0.007600000000000001,0.0274,-0.0202,-0.0029,0.0242
1996-07-31,-0.0456,0.0093,0.094,-0.031100000000000003,0.0017000000000000001,-0.0019000000000000002,-0.0076,0.0017000000000000001,0.006200000000000001,0.0091,-0.074,-0.0423,-0.0033,0.013
1996-08-31,0.0209,0.0092,-0.0382,0.0317,0.0109,0.0177,0.0235,0.014699999999999998,0.0084,0.006499999999999999,0.0254,0.0199,0.0038999999999999994,0.0032999999999999995
1996-09-30,0.0211,0.007299999999999999,-0.06319999999999999,0.011799999999999998,0.0093,0.0184,0.0245,0.012899999999999998,0.017599999999999998,0.010799999999999999,0.026199999999999998,0.0211,0.0283,0.005899999999999999
1996-10-31,0.028900000000000002,0.0098,0.0384,0.012400000000000001,0.006500000000000001,0.0093,0.013399999999999999,0.007300000000000001,-0.00010000000000000026,0.006999999999999999,0.0485,0.014700000000000001,0.0513,-0.0024
1996-11-30,0.0462,0.0093,-0.0336,0.0218,0.0158,0.0212,0.0319,0.014700000000000001,0.0002999999999999999,0.007500000000000001,0.0771,0.026500000000000003,0.037899999999999996,-0.0023
1996-12-31,-0.0009000000000000002,0.0045000000000000005,0.0091,0.0203,0.0055,0.0148,0.0179,0.013000000000000001,0.0072,0.013500000000000002,-0.0116,0.004200000000000001,-0.0223,0.0186
1997-01-31,0.0503,0.0058,-0.0231,0.0901,0.0272,0.0185,0.0197,0.0188,0.0083,0.0103,0.0776,0.0304,0.0255,0.010799999999999999
1997-02-28,0.0089,0.0092,0.020900000000000002,0.0728,0.0156,0.0108,0.0175,0.006200000000000001,-0.0018999999999999993,0.0069,0.014100000000000001,-0.0199,0.0102,0.0194
1997-03-31,-0.0185,0.005,0.0759,-0.012199999999999999,-0.0159,-0.0026000000000000003,-0.0006000000000000003,-0.0036000000000000003,-0.0086,0.0027999999999999995,-0.0261,-0.027100000000000003,-0.0139,0.0008999999999999998
1997-04-30,0.0244,0.006000000000000001,-0.012199999999999999,0.0155,0.0079,-0.0008999999999999998,0.001,0.0005999999999999998,-0.0209,0.008199999999999999,0.055299999999999995,-0.0040999999999999995,-0.0311,0.0014000000000000002
1997-05-31,0.004700000000000001,0.0127,-0.0691,0.0256,0.0262,0.025,0.030400000000000003,0.0227,0.009000000000000001,0.006,-0.0243,0.0473,-0.011699999999999999,0.0069
1997-06-30,0.018,0.0163,-0.013,0.0635,0.0072,0.012400000000000001,0.006699999999999999,0.0162,0.0193,0.0040999999999999995,0.0164,0.0182,-0.0025,0.0081
1997-07-31,0.0654,0.0166,-0.06770000000000001,0.0601,0.028099999999999997,0.031299999999999994,0.030799999999999998,0.0348,0.007599999999999999,0.0063999999999999994,0.0968,0.0658,0.0524,0.0058
1997-08-31,-0.0165,0.013600000000000001,-0.0046,-0.0404,-0.0131,-0.006500000000000001,-0.013000000000000001,-0.0026000000000000003,0.0018,0.0043,-0.028,0.0022999999999999995,-0.0766,0.0087
1997-09-30,0.0356,0.006,-0.0375,0.0235,0.013800000000000002,0.020700000000000003,0.0254,0.0184,0.0105,0.0072,0.042,0.0548,0.032,0.019700000000000002
1997-10-31,-0.020700000000000003,0.0002999999999999999,0.0632,-0.0829,0.0037999999999999996,0.00019999999999999966,0.0079,-0.0048000000000000004,-0.0041,-0.0201,-0.0232,-0.0127,-0.0116,0.0269
1997-11-30,0.0051,-0.0131,0.024399999999999998,-0.052500000000000005,-0.0087,0.0084,0.0135,0.0048000000000000004,0.006,-0.0008999999999999998,0.029699999999999997,-0.0171,-0.011699999999999999,0.0024000000000000002
1997-12-31,0.028499999999999998,0.0063999999999999994,0.006699999999999999,0.039299999999999995,-0.0033,0.015399999999999999,0.00019999999999999966,0.026099999999999998,0.016399999999999998,0.0034000000000000002,0.0477,0.0118,0.0245,0.006999999999999999
1998-01-31,-0.016399999999999998,0.0040999999999999995,-0.0148,-0.0633,0.0048000000000000004,0.013,0.0333,-0.0063,-0.0097,-0.0127,-0.026099999999999998,-0.0136,0.004399999999999999,-0.0013
1998-02-28,0.0155,0.012199999999999999,-0.07300000000000001,0.0159,0.0144,0.021500000000000002,0.0239,0.0176,0.034,0.004,-0.0019999999999999996,0.0523,-0.0069,0.011300000000000001
1998-03-31,0.055,0.0098,-0.0286,0.0319,0.015299999999999998,0.020399999999999998,0.008299999999999998,0.0338,0.0194,0.011699999999999999,0.0972,0.045899999999999996,0.0062,0.011199999999999998
1998-04-30,0.0053,0.0085,0.0044,-0.006,-0.0013,0.0031000000000000003,0.0009000000000000006,0.0048,0.012200000000000003,-0.0043,0.0115,0.007200000000000001,-0.044500000000000005,0.013900000000000003
1998-05-31,-0.0013000000000000004,0.0025999999999999994,0.105,-0.1017,0.0092,-0.0159,-0.018,-0.0149,-0.0016000000000000003,-0.006,0.0298,-0.0208,0.0286,0.0083
1998-06-30,0.011100000000000002,-0.0085,-0.0282,-0.0516,-9.99999999999994e-05,-0.0127,-0.0016999999999999997,-0.0249,-0.0101,-0.0156,0.028000000000000004,0.029200000000000004,0.004300000000000001,-0.0024
